fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2001,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",19068000.0000,14,14
2001,Other Agencies,Treasury,Other R&D and Knowledge Based,111000.0000,2,2
2001,Other Agencies,VA,Other Products,522000.0000,6,9
2001,State and IAP,State,C4ISR,536000.0000,3,4
2002,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",1753936.0000,25,23
2002,Defense,Army,C4ISR,54751972.0000,128,98
2002,Defense,Army,Other Products,6562228.0000,36,34
2002,Defense,DLA,C4ISR,2049226.0000,46,52
2002,Defense,DLA,Other Products,9547976.0000,56,59
2002,Defense,Navy,Air,99065878.4100,205,187
2002,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",240000.0000,4,4
2002,Energy,Energy,Other R&D and Knowledge Based,100920.0000,2,2
2002,Other Agencies,NULL,Other Products,1026652.0000,29,2
2000,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",12646587.0000,43,44
2000,Defense,DLA,Sea,123516.0000,3,3
2000,Defense,Other DoD,Other R&D and Knowledge Based,98925.0000,1,1
2000,Energy,Energy,Air,745000.0000,1,1
2000,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",7498320.6400,88,73
2000,Other Agencies,All other Customers,Other Services,50000.0000,1,1
2000,Other Agencies,BROADCASTING BOARD OF GOVERNORS,"Other Facilities, Construction, Manufacturing and Testing",203000.0000,4,4
2000,Other Agencies,Justice,Land,7000.0000,4,4
2000,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,216000.0000,1,1
2000,Other Agencies,Transportation,C4ISR,1177000.0000,13,9
2000,Other Agencies,Treasury,C4ISR,220000.0000,4,4
2001,Defense,Air Force,C4ISR,5554882.0000,22,22
2001,Defense,Army,Air,11813030.0000,42,42
2001,Defense,DLA,Air,15647413.0000,145,151
2001,Energy,Energy,C4ISR,1110000.0000,8,8
2001,GSA,GSA,C4ISR,1104000.0000,12,16
2001,GSA,GSA,Land,0.0000,NULL,1
2001,GSA,GSA,Sea,76000.0000,1,1
2001,NASA,NASA,Other Products,91000.0000,1,1
2001,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2819466.0000,11,10
2001,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,25000.0000,1,1
2001,Other Agencies,Interior,C4ISR,2496195.0000,24,19
2001,Other Agencies,Interior,Land,129000.0000,1,1
2001,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",24150000.0000,499,452
2001,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",400000.0000,37,21
2001,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",714000.0000,32,31
2001,Other Agencies,VA,C4ISR,82000.0000,2,2
2001,State and IAP,USAID,Other R&D and Knowledge Based,93000.0000,1,1
2002,Defense,Air Force,Other R&D and Knowledge Based,505230.0000,4,4
2002,Defense,Air Force,"Weapons, Ammunition and Missiles",986415.0000,18,18
2002,Defense,Army,Land,28054014.0000,83,71
2002,Defense,DLA,Land,6514782.0000,80,82
2002,Defense,Navy,NULL,3214.1400,2,2
2002,Defense,Navy,Other Services,1060402.0000,6,5
2002,Defense,Other DoD,Other Products,678451.0000,4,4
2002,GSA,GSA,Air,0.0000,NULL,1
2002,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",7736479.6700,145,108
2002,HHS,HHS,NULL,49303942.0000,12,9
2002,HHS,HHS,Other Services,3356392.0000,1,1
2002,Other Agencies,Agriculture,C4ISR,1909272.0000,18,19
2002,Other Agencies,Agriculture,Other Products,5921000.0000,20,20
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,"Other Facilities, Construction, Manufacturing and Testing",51000.0000,1,1
2002,Other Agencies,Transportation,Air,787250.0000,30,16
2002,Other Agencies,Transportation,C4ISR,8523650.0000,35,13
2003,Defense,Army,Air,12916815.0000,82,81
2003,Defense,Army,Other Services,165269.0000,8,8
2003,Defense,Navy,Other Products,2141935.0000,26,26
2000,Defense,Air Force,C4ISR,5512202.0000,21,22
2000,Defense,Air Force,Land,410313.0000,2,1
2000,Defense,Army,Air,22152896.0000,62,67
2000,Defense,DLA,Air,16130920.0000,106,107
2000,Energy,Energy,Other Products,1640000.0000,2,2
2000,NASA,NASA,Other Products,445000.0000,2,2
2000,NASA,NASA,Other R&D and Knowledge Based,256000.0000,4,3
2000,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",1885000.0000,11,10
2000,Other Agencies,HUD,C4ISR,33000.0000,1,1
2000,Other Agencies,Interior,Other Products,2661000.0000,6,3
2000,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",17252000.0000,526,513
2000,Other Agencies,Justice,Other R&D and Knowledge Based,294000.0000,9,5
2000,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",763000.0000,8,8
2000,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",10223000.0000,35,30
2000,Other Agencies,Treasury,Other R&D and Knowledge Based,205000.0000,4,3
2000,Other Agencies,VA,C4ISR,64000.0000,2,2
2000,State and IAP,State,Sea,6000000.0000,2,2
2001,Defense,Air Force,"Weapons, Ammunition and Missiles",35210.0000,2,2
2001,Energy,Energy,Other R&D and Knowledge Based,339000.0000,1,1
2001,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",7528001.0000,98,85
2001,HHS,HHS,Other Services,51000.0000,1,1
2001,Other Agencies,Agriculture,C4ISR,1451000.0000,1,1
2001,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",1198000.0000,21,19
2001,Other Agencies,Interior,Other R&D and Knowledge Based,1499000.0000,30,27
2001,Other Agencies,Interior,Other Services,327000.0000,5,4
2001,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,85000.0000,2,2
2001,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",4466085.7300,17,14
2002,Defense,Air Force,Other Products,127128.0000,3,3
2002,Defense,Army,Other Services,235053.0000,7,6
2002,Defense,Navy,C4ISR,13859522.0000,107,101
2002,Defense,Navy,Land,178694.0000,2,2
2002,Energy,Energy,C4ISR,820445.0000,13,12
2002,GSA,GSA,Other Products,576000.0000,11,14
2002,HHS,HHS,C4ISR,285000.0000,7,5
2002,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",276100.0000,4,3
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,37000.0000,1,1
2002,Other Agencies,Commerce,Other R&D and Knowledge Based,786000.0000,10,17
2002,Other Agencies,EPA,Other R&D and Knowledge Based,65000.0000,8,6
2002,Other Agencies,EPA,Other Services,0.0000,1,1
2002,Other Agencies,Justice,"Weapons, Ammunition and Missiles",665000.0000,6,6
2002,Other Agencies,Transportation,Other R&D and Knowledge Based,1310000.0000,4,3
2002,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",1371000.0000,30,31
2002,Other Agencies,VA,Other Products,796000.0000,10,14
2002,State and IAP,USAID,Other R&D and Knowledge Based,35000.0000,2,2
2003,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",4751686.0000,63,59
2000,Defense,Air Force,"Weapons, Ammunition and Missiles",27484.0000,1,1
2000,Defense,Army,Other Services,34435.0000,1,1
2000,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",6981632.0000,19,20
2000,Defense,Navy,Land,1925451.0000,6,4
2000,Defense,Navy,Other R&D and Knowledge Based,2702651.0000,27,24
2000,Energy,Energy,Other R&D and Knowledge Based,-124000.0000,3,3
2000,HHS,HHS,Other R&D and Knowledge Based,3333623.0000,10,8
2000,Other Agencies,Agriculture,C4ISR,63000.0000,1,1
2000,Other Agencies,Commerce,Other R&D and Knowledge Based,325000.0000,10,8
2000,Other Agencies,Justice,Air,201000.0000,2,3
2000,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,25000.0000,1,1
2000,Other Agencies,Transportation,Air,1651000.0000,12,9
2000,Other Agencies,VA,Other Products,311000.0000,5,7
2000,State and IAP,State,Air,168000.0000,1,2
2001,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",1849010.0000,23,23
2001,Defense,Army,C4ISR,29212569.0000,70,47
2001,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",9712858.0000,74,64
2001,Defense,Army,Other Services,2443996.0000,10,2
2001,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",30682787.0000,63,67
2001,Defense,Navy,Land,261972.0000,3,3
2001,Defense,Other DoD,C4ISR,1295713.0000,4,4
2001,GSA,GSA,Other Products,0.0000,NULL,2
2001,GSA,GSA,Other R&D and Knowledge Based,0.0000,NULL,1
2001,Other Agencies,Commerce,Other R&D and Knowledge Based,109000.0000,7,8
2001,Other Agencies,EPA,Other R&D and Knowledge Based,185000.0000,2,2
2001,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,50000.0000,1,1
2001,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,373000.0000,2,1
2001,Other Agencies,Transportation,Other Products,178000.0000,1,1
2001,Other Agencies,Transportation,Sea,1910000.0000,8,12
2001,Other Agencies,VA,Other R&D and Knowledge Based,75000.0000,2,3
2002,Defense,Air Force,Air,48329575.0000,66,66
2002,Defense,Air Force,Land,342060.0000,3,3
2002,Defense,Army,"Weapons, Ammunition and Missiles",55332814.0000,47,34
2002,Defense,DLA,"Weapons, Ammunition and Missiles",1117613.0000,11,10
2002,Defense,Navy,Other Products,795357.0000,14,14
2002,Defense,Other DoD,C4ISR,473005.0000,20,20
2002,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",1641557.0000,17,14
2002,GSA,GSA,Other R&D and Knowledge Based,58000.0000,1,2
2002,Other Agencies,Interior,Other Services,60000.0000,3,1
2002,Other Agencies,Justice,Land,784000.0000,30,32
2002,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,41000.0000,1,1
2002,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,165000.0000,1,1
2002,Other Agencies,Treasury,C4ISR,2940000.0000,27,27
2003,Defense,Air Force,Air,90963079.0000,105,90
2003,Defense,Air Force,Other Products,221900.0000,5,8
2003,Defense,Army,Space,10000.0000,1,1
2003,Defense,Army,"Weapons, Ammunition and Missiles",105915393.0000,70,49
2000,Defense,Air Force,Other R&D and Knowledge Based,191187.0000,3,2
2000,Defense,Army,NULL,172118.0000,2,2
2000,Defense,Army,Land,442031753.0000,49,50
2000,Defense,Army,Other R&D and Knowledge Based,6611505.0000,17,13
2000,Defense,DLA,NULL,1293295.0000,17,16
2000,Defense,DLA,Land,2608914.0000,27,27
2000,Defense,Navy,C4ISR,11666147.0000,71,67
2000,Defense,Navy,Other Services,2424936.0000,6,4
2000,GSA,GSA,"Weapons, Ammunition and Missiles",40000.0000,5,2
2000,HHS,HHS,C4ISR,80000.0000,2,2
2000,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",150000.0000,4,4
2000,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",886854.0500,10,5
2000,Other Agencies,Agriculture,Other Products,4989000.0000,13,13
2000,Other Agencies,All other Customers,Other Products,3551000.0000,8,8
2000,Other Agencies,Interior,Air,130000.0000,3,1
2001,Defense,Army,Other Products,9975053.0000,27,24
2001,Defense,DLA,Other Products,8562108.0000,37,36
2001,Defense,Navy,"Weapons, Ammunition and Missiles",3624784.0000,8,10
2001,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",501000.0000,6,8
2001,NASA,NASA,C4ISR,805000.0000,10,8
2001,NASA,NASA,Space,39717273.0000,13,5
2001,Other Agencies,Agriculture,Other R&D and Knowledge Based,2025215.0000,17,14
2001,Other Agencies,Commerce,Air,95000.0000,1,2
2001,Other Agencies,Commerce,Other Products,70000.0000,1,2
2001,Other Agencies,Commerce,Sea,278000.0000,9,7
2001,Other Agencies,Interior,Sea,567000.0000,8,5
2001,Other Agencies,Justice,C4ISR,19386000.0000,72,68
2001,Other Agencies,Justice,Other Services,34000.0000,1,1
2001,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,633000.0000,3,2
2001,Other Agencies,Transportation,Other R&D and Knowledge Based,1847000.0000,4,4
2001,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",1486000.0000,19,20
2001,State and IAP,State,Other Services,43000.0000,2,3
2002,Defense,Army,Other R&D and Knowledge Based,17381253.0000,50,42
2002,Defense,DLA,Other R&D and Knowledge Based,143110.0000,1,1
2002,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",1991096.0000,58,55
2002,Defense,Navy,Sea,9599584.0000,53,42
2002,Defense,Other DoD,Land,310000.0000,2,2
2002,Defense,Other DoD,Other R&D and Knowledge Based,838391.0000,4,4
2002,GSA,GSA,"Weapons, Ammunition and Missiles",0.0000,NULL,1
2002,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1243077.0000,14,13
2002,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",335440.0000,9,8
2002,Other Agencies,Interior,Air,0.0000,2,1
2002,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,33000.0000,2,1
2003,Defense,Air Force,C4ISR,10615816.0000,53,50
2003,Defense,Navy,"Weapons, Ammunition and Missiles",3956765.0000,10,10
2003,DHS,COAST GUARD,NULL,0.0000,1,1
2003,DHS,COAST GUARD,Other R&D and Knowledge Based,220399.9900,3,2
2000,Defense,Air Force,Air,43401557.0000,91,67
2000,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",2895293.0000,23,21
2000,Defense,Army,C4ISR,40485372.0000,49,34
2000,Defense,Army,"Weapons, Ammunition and Missiles",19759590.0000,31,21
2000,Defense,DLA,C4ISR,1411704.0000,20,22
2000,Defense,DLA,"Weapons, Ammunition and Missiles",1346532.0000,6,7
2000,Defense,Navy,Other Products,392682.0000,5,4
2000,Defense,Other DoD,C4ISR,352564.0000,8,6
2000,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",1585692.0000,14,14
2000,GSA,GSA,Land,31651000.0000,3,3
2000,GSA,GSA,Other R&D and Knowledge Based,100000.0000,1,1
2000,HHS,HHS,Other Products,117000.0000,1,1
2000,Other Agencies,Agriculture,Other Services,7998543.0000,20,31
2000,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other Products,35000.0000,1,1
2000,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,2068047.9000,2,2
2000,State and IAP,State,C4ISR,69000.0000,2,3
2001,Defense,Air Force,Air,43281506.0000,91,79
2001,Defense,Army,"Weapons, Ammunition and Missiles",21447771.0000,29,22
2001,Defense,DLA,"Weapons, Ammunition and Missiles",84295.0000,3,3
2001,Defense,Navy,Other Products,838968.0000,7,9
2001,Defense,Navy,Other R&D and Knowledge Based,2086148.0000,16,15
2001,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",1754165.0000,14,15
2001,HHS,HHS,Other Products,377300.0000,3,4
2001,HHS,HHS,Other R&D and Knowledge Based,2962321.0000,11,12
2001,Other Agencies,Education,Other R&D and Knowledge Based,350000.0000,2,1
2001,Other Agencies,Justice,Air,253000.0000,8,5
2001,Other Agencies,Justice,Land,130000.0000,2,4
2001,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other Products,46000.0000,1,1
2001,Other Agencies,Transportation,Air,3957000.0000,31,20
2001,Other Agencies,Treasury,C4ISR,908000.0000,8,8
2002,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",22491583.0000,198,176
2002,Defense,Army,Sea,191570.0000,4,3
2002,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",38368454.0000,106,77
2002,Defense,DLA,Sea,540871.0000,11,13
2002,Defense,Navy,Other R&D and Knowledge Based,4242925.0000,21,14
2002,Defense,Other DoD,Air,1342820.0000,1,1
2002,HHS,HHS,Other R&D and Knowledge Based,5663374.0000,32,22
2002,Other Agencies,Interior,C4ISR,1763000.0000,36,33
2002,Other Agencies,Justice,Air,66000.0000,2,1
2002,Other Agencies,Justice,Other Products,890000.0000,21,22
2002,Other Agencies,Transportation,Other Products,66000.0000,1,2
2002,Other Agencies,Transportation,Sea,792600.0000,2,3
2003,Defense,Air Force,Land,164339.0000,2,2
2003,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",34189176.0000,247,220
2003,Defense,Army,Sea,360781.0000,2,2
2003,Defense,DLA,Air,17491046.0000,171,179
2003,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",21169641.0000,103,98
2000,Defense,Air Force,Other Products,30330.0000,1,1
2000,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",4397148.0000,36,36
2000,Defense,Navy,Sea,3731218.0000,34,32
2000,Energy,Energy,C4ISR,955000.0000,11,10
2000,NASA,NASA,"Weapons, Ammunition and Missiles",-94000.0000,2,1
2000,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",522976.0000,8,8
2000,Other Agencies,All other Customers,C4ISR,1124000.0000,19,19
2000,Other Agencies,All other Customers,Sea,64000.0000,1,1
2000,Other Agencies,EPA,Other Services,305000.0000,3,1
2000,Other Agencies,Interior,C4ISR,1188000.0000,17,17
2000,Other Agencies,Justice,"Weapons, Ammunition and Missiles",1012000.0000,6,6
2000,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",425000.0000,22,23
2001,Defense,Air Force,Other R&D and Knowledge Based,541607.0000,4,4
2001,Defense,Air Force,Other Services,74955.0000,1,1
2001,Defense,DLA,C4ISR,1038035.0000,22,25
2001,Defense,DLA,Land,3028903.0000,39,40
2001,Defense,DLA,Sea,501058.0000,8,8
2001,Defense,Navy,Air,69699156.7900,111,115
2001,Defense,Other DoD,Other Products,67125.0000,1,1
2001,Defense,Other DoD,Other R&D and Knowledge Based,35250.0000,1,1
2001,HHS,HHS,NULL,0.0000,2,2
2001,NASA,NASA,Air,285000.0000,4,2
2001,Other Agencies,NULL,Other Products,1358349.0000,37,2
2001,Other Agencies,Agriculture,Other Products,6990000.0000,21,21
2001,Other Agencies,Commerce,C4ISR,556000.0000,18,21
2001,Other Agencies,Justice,Other Products,216000.0000,17,20
2001,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",0.0000,1,1
2001,Other Agencies,Transportation,C4ISR,2504000.0000,17,14
2001,Other Agencies,Treasury,Other Products,427000.0000,3,3
2001,Other Agencies,VA,Other Services,33000.0000,1,1
2002,Defense,Army,Air,10165846.0000,33,33
2002,Defense,DLA,NULL,1828744.0000,17,21
2002,Defense,DLA,Air,21526142.0000,146,148
2002,Energy,Energy,Other Products,1550000.0000,6,4
2002,GSA,GSA,C4ISR,1598239.0000,21,24
2002,GSA,GSA,Land,0.0000,NULL,1
2002,HHS,HHS,Other Products,171000.0000,3,3
2002,NASA,NASA,Other Products,-10000.0000,1,1
2002,Other Agencies,Agriculture,Other Services,1697470.0000,7,4
2002,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",497000.0000,11,10
2002,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",197000.0000,1,1
2002,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,78000.0000,1,1
2002,Other Agencies,Interior,Other Products,87000.0000,8,5
2002,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",14134000.0000,606,588
2002,Other Agencies,Justice,Other R&D and Knowledge Based,535000.0000,15,9
2002,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",34000.0000,1,1
2002,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",566242.0000,14,11
2000,Defense,Army,Other Products,6353252.0000,18,15
2000,Defense,DLA,Other Products,5646270.0000,32,34
2000,Defense,Navy,"Weapons, Ammunition and Missiles",9912536.0000,6,6
2000,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",656000.0000,2,2
2000,GSA,GSA,C4ISR,1690053.0000,16,23
2000,NASA,NASA,C4ISR,821000.0000,9,8
2000,NASA,NASA,Space,34858000.0000,11,5
2000,Other Agencies,Agriculture,Other R&D and Knowledge Based,834000.0000,8,7
2000,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,78000.0000,1,1
2000,Other Agencies,Commerce,Sea,347000.0000,4,4
2000,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",1331000.0000,8,8
2000,Other Agencies,Interior,Sea,456000.0000,6,6
2000,Other Agencies,Labor,C4ISR,38000.0000,1,1
2000,Other Agencies,Transportation,Other R&D and Knowledge Based,1162000.0000,2,1
2000,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",591000.0000,12,12
2000,State and IAP,State,Land,104000.0000,3,4
2000,State and IAP,State,Other R&D and Knowledge Based,98000.0000,1,2
2001,Defense,Army,Land,18209542.0000,79,77
2001,Defense,Army,Other R&D and Knowledge Based,7431947.0000,25,19
2001,Defense,DLA,NULL,2735073.0000,8,8
2001,Defense,Navy,C4ISR,13113101.0000,78,69
2001,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",8660781.0000,58,56
2001,Defense,Navy,Other Services,1057063.0000,5,2
2001,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1341000.0000,8,8
2001,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",480770.7400,8,5
2001,Other Agencies,Interior,Air,352000.0000,4,4
2002,Defense,Air Force,C4ISR,9460764.0000,36,32
2002,Defense,Air Force,Other Services,-106575.0000,2,1
2002,Defense,Navy,"Weapons, Ammunition and Missiles",5864497.0000,16,16
2002,NASA,NASA,Air,-3000.0000,1,1
2002,NASA,NASA,C4ISR,5603000.0000,13,8
2002,NASA,NASA,Space,24008000.0000,8,6
2002,Other Agencies,Commerce,Sea,1904000.0000,17,19
2002,Other Agencies,Interior,Land,50000.0000,1,1
2002,Other Agencies,Interior,Sea,7306000.0000,4,2
2002,Other Agencies,Justice,C4ISR,9176760.0000,78,80
2002,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,676000.0000,4,3
2002,Other Agencies,Treasury,Air,48000.0000,1,1
2002,Other Agencies,Treasury,Other Products,5042000.0000,10,11
2002,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",1147000.0000,17,18
2002,State and IAP,State,Other R&D and Knowledge Based,42000.0000,3,3
2002,State and IAP,State,Other Services,117000.0000,1,1
2003,Defense,Army,Other R&D and Knowledge Based,8368141.0000,63,53
2003,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",15743223.0000,167,128
2003,Defense,Navy,Sea,12304011.0000,78,62
2003,Defense,Other DoD,Land,1582748.0000,5,5
2003,Defense,Other DoD,Other R&D and Knowledge Based,1559969.0000,8,5
2002,Other Agencies,Commerce,C4ISR,1811000.0000,15,18
2002,Other Agencies,Interior,NULL,0.0000,NULL,1
2002,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",1915977.0000,31,28
2002,Other Agencies,Interior,Other R&D and Knowledge Based,1907701.4000,30,26
2002,Other Agencies,Labor,C4ISR,40000.0000,1,1
2002,Other Agencies,Transportation,Land,543000.0000,4,2
2002,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",3046416.2600,24,22
2003,Defense,DLA,NULL,1404072.0000,17,19
2003,Defense,Navy,C4ISR,51876366.0000,160,151
2003,Defense,Navy,Land,1654076.0000,11,9
2003,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",7631570.0000,55,34
2003,DHS,TSA,Other Products,229170.0000,1,1
2003,GSA,GSA,Other Products,234703.0000,36,38
2003,HHS,HHS,C4ISR,1349786.5000,13,15
2003,Other Agencies,Agriculture,Other Services,1100.0000,2,1
2003,Other Agencies,All other Customers,C4ISR,29500.0000,1,1
2003,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,82440.0000,1,1
2003,Other Agencies,HUD,NULL,137500.0000,2,2
2003,Other Agencies,Justice,Other R&D and Knowledge Based,385642.0000,12,10
2003,Other Agencies,Justice,"Weapons, Ammunition and Missiles",72000.0000,4,4
2003,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",37488.0000,1,1
2003,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,67.0000,1,1
2003,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",2237930.0000,9,7
2003,Other Agencies,VA,Other Products,1700407.0000,16,18
2003,State and IAP,State,C4ISR,1740127.0000,7,7
2004,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",3506477.0000,53,53
2004,Defense,Army,C4ISR,53844887.0000,252,203
2004,Defense,Army,Other Products,24877908.0000,69,50
2004,Defense,DLA,C4ISR,4296130.0000,88,105
2004,Defense,DLA,Other Products,65157603.0000,46,54
2004,Defense,Navy,"Weapons, Ammunition and Missiles",4025921.0000,12,13
2004,Defense,Other DoD,C4ISR,636722.0000,10,10
2004,DHS,TSA,"Other Facilities, Construction, Manufacturing and Testing",28446.0000,1,1
2004,DHS,TSA,Other R&D and Knowledge Based,406700.0000,2,1
2004,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",322535.0000,5,4
2004,Energy,Energy,Other R&D and Knowledge Based,210515.0000,4,4
2004,GSA,GSA,NULL,23950.5100,4,3
2004,GSA,GSA,Other R&D and Knowledge Based,-1144.2900,2,3
